id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
164,北京网御星云信息技术有限公司,网御网络审计系统V3.0(千兆),CNITSEC2020PRD0985,EAL3+,2020/6/12,2023/6/11,NULL
165,北京天融信网络安全技术有限公司,"天融信数据库审计系统 TA-DB(千兆）V3",CNITSEC2020PRD0986,EAL3+,2020/6/15,2023/6/14,NULL
166,北京天融信网络安全技术有限公司,"天融信数据库审计系统 TA-DB(万兆）V3",CNITSEC2020PRD0987,EAL3+,2020/6/15,2023/6/14,NULL
167,北京握奇智能科技有限公司,可视按键型智能密码钥匙WatchKeyOCL-1404/V3.4,CNITSEC2020PRD0977,EAL4+,2020/4/28,2023/4/27,NULL
168,北京天融信网络安全技术有限公司,"天融信运维安全审计系统TopSAG V3",CNITSEC2020PRD0978,EAL3+,2020/5/6,2023/5/5,NULL
169,北京天融信软件有限公司,"天融信运维安全审计系统TopSAG V3",CNITSEC2020PRD0979,EAL3+,2020/5/6,2023/5/5,NULL
170,浪潮通用软件有限公司,浪潮GSP+企业互联网开放平台软件V7.0,CNITSEC2020PRD0980,EAL3+,2020/5/8,2023/5/7,NULL
171,杭州合众数据技术有限公司,合众安全隔离与单向传输系统V1.0,CNITSEC2020PRD0981,EAL3+,2020/4/28,2023/4/27,NULL
172,网神信息技术（北京）股份有限公司,"网神SecSIS 3600 光单向安全隔离数据自动导入系统 SecSIS/V2.0",CNITSEC2020PRD0982,EAL4+,2020/5/27,2023/5/26,NULL
173,北京天融信网络安全技术有限公司,天融信防火墙系统NGFW4000（百兆）V3,CNITSEC2020PRD0972,EAL4+,2020/4/21,2023/4/20,NULL
174,北京天融信网络安全技术有限公司,天融信应用安全网关系统TopGate（千兆）V3,CNITSEC2020PRD0973,EAL4+,2020/4/21,2023/4/20,NULL
175,北京天融信网络安全技术有限公司,"天融信安全管理系统 V3",CNITSEC2020PRD0974,EAL3+,2020/4/22,2023/4/21,NULL
176,北京星网锐捷网络技术有限公司,"锐捷防火墙 RG-WALL 1600 （千兆）V5.2",CNITSEC2020PRD0975,EAL3+,2020/4/22,2023/4/21,NULL
177,北京星网锐捷网络技术有限公司,"锐捷防火墙 RG-WALL 1600 （万兆）V5.2",CNITSEC2020PRD0976,EAL3+,2020/4/22,2023/4/21,NULL
178,网神信息技术（北京）股份有限公司,360网神防火墙系统V4.0,CNITSEC2017I&amp;OE0024,自主原创,2017/9/20,2020/9/19,NULL
179,北京神州绿盟科技有限公司,绿盟NF防火墙V6.0,CNITSEC2018I&amp;OE0025,自主原创,2018/4/20,2021/4/19,NULL
180,北京瑞星信息技术股份有限公司,瑞星之剑勒索病毒防御软件V1.0,CNITSEC2017I&amp;OE0026,自主原创,2018/5/21,2021/5/20,NULL
181,网神信息技术（北京）股份有限公司,网神SecGate3600防火墙V3.6.6.0,CNITSEC2018I&amp;OE0027,自主原创,2018/12/4,2021/12/3,NULL
